po_id,order_date,department,category,item,supplier,unit_cost,quantity,total_cost,lead_time_days,promised_days,on_time,on_contract
PO-10030,2024-01-22,Surgery,PPE & Safety,Isolation Gowns (case 100),MedLine Direct,94.4,31,2926.4,6,8,True,True
PO-10031,2024-01-24,Oncology,Pharmaceuticals,Heparin Vials (box 25),Apex Medical Group,185.14,17,3147.38,15,13,False,False
PO-10032,2024-01-23,General Medicine,Surgical Supplies,Surgical Drapes (case 60),MedLine Direct,133.04,7,931.28,6,8,True,True
PO-10033,2024-01-22,ICU,Medical Equipment,Ventilator Circuits (case 20),Cardinal Supply Co,252.57,4,1010.28,6,9,True,True
PO-10034,2024-01-05,Surgery,Medical Equipment,Ventilator Circuits (case 20),OmniHealth Partners,249.19,3,747.57,8,11,True,True
PO-10035,2024-01-10,General Medicine,Surgical Supplies,Surgical Drapes (case 60),OmniHealth Partners,121.44,10,1214.4,8,11,False,True
PO-10036,2024-01-21,Surgery,Pharmaceuticals,Epinephrine Auto-Inj (box 12),Cardinal Supply Co,635.46,5,3177.3,8,9,True,True
PO-10037,2024-01-06,Cardiology,Lab & Diagnostics,Reagent Pack - Chemistry,MedLine Direct,891.88,4,3567.52,8,8,True,True
PO-10038,2024-01-13,Laboratory,PPE & Safety,Isolation Gowns (case 100),Regional MedSupply,100.18,32,3205.76,7,6,False,True
PO-10039,2024-01-07,ICU,Medical Equipment,Ventilator Circuits (case 20),MedLine Direct,286.3,2,572.6,8,8,True,False
PO-10040,2024-01-22,Emergency,Pharmaceuticals,Propofol Vials (box 10),Apex Medical Group,183.21,16,2931.36,9,13,True,True
PO-10041,2024-01-12,Surgery,Pharmaceuticals,Saline IV Bags 1L (case 12),Apex Medical Group,71.03,53,3764.59,11,13,True,True
PO-10042,2024-01-04,Oncology,Surgical Supplies,Laparoscopic Trocars (box 6),Cardinal Supply Co,413.85,4,1655.4,4,9,True,True
PO-10043,2024-01-22,Emergency,Medical Equipment,ECG Electrodes (case 600),Cardinal Supply Co,88.66,22,1950.52,8,9,True,True
PO-10044,2024-01-20,Surgery,Medical Equipment,Ventilator Circuits (case 20),Apex Medical Group,238.48,1,238.48,11,13,True,True
PO-10045,2024-01-12,Laboratory,Pharmaceuticals,Epinephrine Auto-Inj (box 12),Cardinal Supply Co,632.4,5,3162.0,4,9,False,True
PO-10046,2024-01-19,Emergency,Surgical Supplies,Sterile Gauze (case 600),Regional MedSupply,60.26,36,2169.36,4,6,True,True
PO-10047,2024-01-04,Emergency,Surgical Supplies,Sterile Gauze (case 600),OmniHealth Partners,54.45,31,1687.95,10,11,True,True
PO-10048,2024-01-27,Cardiology,PPE & Safety,Face Shields (case 96),Apex Medical Group,72.65,8,581.2,9,13,True,True
PO-10049,2024-01-23,Emergency,Lab & Diagnostics,Specimen Containers (case 500),Regional MedSupply,78.74,15,1181.1,4,6,True,False
PO-10050,2024-01-02,Emergency,Lab & Diagnostics,Blood Collection Tubes (case 1000),MedLine Direct,124.09,17,2109.53,3,8,True,True
PO-10051,2024-01-20,Oncology,Medical Equipment,ECG Electrodes (case 600),OmniHealth Partners,87.43,23,2010.89,7,11,True,False
PO-10052,2024-01-12,Emergency,Pharmaceuticals,Heparin Vials (box 25),MedLine Direct,160.56,26,4174.56,8,8,True,True
PO-10053,2024-01-11,Oncology,Pharmaceuticals,Epinephrine Auto-Inj (box 12),Apex Medical Group,651.52,7,4560.64,13,13,True,False
PO-10054,2024-01-09,ICU,Pharmaceuticals,Epinephrine Auto-Inj (box 12),OmniHealth Partners,570.19,4,2280.76,6,11,True,True
PO-10055,2024-01-16,Laboratory,PPE & Safety,N95 Respirators (case 210),MedLine Direct,140.79,24,3378.96,6,8,True,True
PO-10056,2024-01-04,ICU,Pharmaceuticals,Saline IV Bags 1L (case 12),OmniHealth Partners,70.77,61,4316.97,11,11,True,True
PO-10057,2024-01-22,Surgery,Pharmaceuticals,Epinephrine Auto-Inj (box 12),Cardinal Supply Co,639.72,5,3198.6,9,9,True,True
PO-10058,2024-01-12,Emergency,Surgical Supplies,Surgical Drapes (case 60),MedLine Direct,130.67,15,1960.05,2,8,True,True
PO-10059,2024-01-04,Cardiology,Pharmaceuticals,Heparin Vials (box 25),Apex Medical Group,167.58,6,1005.48,11,13,True,True
PO-10060,2024-01-12,General Medicine,Lab & Diagnostics,Specimen Containers (case 500),Cardinal Supply Co,69.37,15,1040.55,8,9,True,False
PO-10061,2024-01-23,Cardiology,Pharmaceuticals,Epinephrine Auto-Inj (box 12),Cardinal Supply Co,653.61,6,3921.66,6,9,True,True
PO-10062,2024-01-06,ICU,Surgical Supplies,Surgical Drapes (case 60),OmniHealth Partners,123.71,10,1237.1,9,11,True,True
PO-10063,2024-01-14,Cardiology,Pharmaceuticals,Heparin Vials (box 25),Apex Medical Group,152.37,16,2437.92,11,13,True,True
PO-10064,2024-01-15,Laboratory,Lab & Diagnostics,Reagent Pack - Chemistry,MedLine Direct,907.69,2,1815.38,6,8,True,True
PO-10065,2024-01-25,General Medicine,Pharmaceuticals,Epinephrine Auto-Inj (box 12),OmniHealth Partners,585.3,4,2341.2,7,11,True,True
PO-10066,2024-01-12,Oncology,Pharmaceuticals,Heparin Vials (box 25),MedLine Direct,167.2,24,4012.8,4,8,True,True
PO-10067,2024-01-08,Cardiology,PPE & Safety,N95 Respirators (case 210),OmniHealth Partners,129.01,18,2322.18,11,11,True,True
PO-10068,2024-01-22,Oncology,Medical Equipment,ECG Electrodes (case 600),Apex Medical Group,78.31,11,861.41,12,13,True,True
PO-10069,2024-01-27,Cardiology,Pharmaceuticals,Heparin Vials (box 25),OmniHealth Partners,168.32,14,2356.48,5,11,True,True
PO-10070,2024-01-06,Laboratory,Pharmaceuticals,Epinephrine Auto-Inj (box 12),Regional MedSupply,688.89,5,3444.45,2,6,True,True
PO-10071,2024-01-23,Cardiology,Medical Equipment,ECG Electrodes (case 600),OmniHealth Partners,83.98,20,1679.6,6,11,True,True
PO-10072,2024-01-07,Emergency,Lab & Diagnostics,Blood Collection Tubes (case 1000),Regional MedSupply,125.99,13,1637.87,2,6,True,True
PO-10073,2024-01-19,Laboratory,Pharmaceuticals,Epinephrine Auto-Inj (box 12),Cardinal Supply Co,619.45,5,3097.25,9,9,True,True
PO-10074,2024-01-24,Emergency,Surgical Supplies,Sterile Gauze (case 600),Regional MedSupply,60.91,26,1583.66,3,6,True,True
PO-10075,2024-01-20,Oncology,Surgical Supplies,Suture Kits (box 36),OmniHealth Partners,179.52,16,2872.32,8,11,True,True
PO-10076,2024-01-10,Surgery,Medical Equipment,Ventilator Circuits (case 20),Apex Medical Group,238.97,1,238.97,14,13,False,True
PO-10077,2024-01-06,General Medicine,PPE & Safety,Nitrile Exam Gloves (box 200),Cardinal Supply Co,11.33,302,3421.66,9,9,True,True
PO-10078,2024-01-09,Cardiology,Lab & Diagnostics,Reagent Pack - Chemistry,OmniHealth Partners,802.24,3,2406.72,5,11,True,True
PO-10079,2024-01-18,Surgery,Pharmaceuticals,Propofol Vials (box 10),Apex Medical Group,200.2,12,2402.4,11,13,False,True
PO-10080,2024-01-07,General Medicine,Pharmaceuticals,Heparin Vials (box 25),Apex Medical Group,159.17,19,3024.23,13,13,True,True
PO-10081,2024-01-05,Emergency,Lab & Diagnostics,Specimen Containers (case 500),OmniHealth Partners,67.57,18,1216.26,9,11,True,False
PO-10082,2024-01-22,Emergency,Medical Equipment,ECG Electrodes (case 600),MedLine Direct,84.48,13,1098.24,4,8,True,True
PO-10083,2024-01-11,ICU,PPE & Safety,N95 Respirators (case 210),Apex Medical Group,128.45,28,3596.6,12,13,True,True
PO-10084,2024-01-15,Laboratory,PPE & Safety,N95 Respirators (case 210),MedLine Direct,152.63,17,2594.71,2,8,True,False
PO-10085,2024-01-09,General Medicine,Surgical Supplies,Sterile Gauze (case 600),Cardinal Supply Co,55.27,9,497.43,9,9,True,True
PO-10086,2024-01-03,Emergency,PPE & Safety,N95 Respirators (case 210),OmniHealth Partners,137.12,25,3428.0,8,11,True,True
PO-10087,2024-01-03,Emergency,PPE & Safety,Nitrile Exam Gloves (box 200),MedLine Direct,11.91,133,1584.03,3,8,True,True
PO-10088,2024-01-16,Oncology,Medical Equipment,ECG Electrodes (case 600),Apex Medical Group,78.74,20,1574.8,11,13,False,True
PO-10089,2024-01-10,ICU,Medical Equipment,Pulse Oximeter Sensors (box 24),MedLine Direct,300.66,3,901.98,6,8,True,True
PO-10090,2024-01-23,Cardiology,Surgical Supplies,Sterile Gauze (case 600),MedLine Direct,58.15,33,1918.95,4,8,True,True
PO-10091,2024-01-25,General Medicine,Surgical Supplies,Laparoscopic Trocars (box 6),MedLine Direct,432.26,7,3025.82,6,8,True,False
PO-10092,2024-01-12,Oncology,PPE & Safety,Face Shields (case 96),MedLine Direct,84.03,16,1344.48,6,8,True,True
PO-10093,2024-01-02,Oncology,Surgical Supplies,Laparoscopic Trocars (box 6),Apex Medical Group,385.78,3,1157.34,7,13,True,True
PO-10094,2024-01-15,Oncology,PPE & Safety,Face Shields (case 96),Regional MedSupply,86.15,11,947.65,4,6,True,True
PO-10095,2024-01-27,ICU,Lab & Diagnostics,Reagent Pack - Chemistry,Apex Medical Group,822.68,3,2468.04,9,13,True,True
PO-10096,2024-01-19,Laboratory,PPE & Safety,Face Shields (case 96),Regional MedSupply,89.77,10,897.7,1,6,True,True
PO-10097,2024-01-06,Cardiology,Medical Equipment,Infusion Pump Sets (case 24),Cardinal Supply Co,333.49,2,666.98,7,9,True,True
PO-10098,2024-01-01,Cardiology,Lab & Diagnostics,Reagent Pack - Chemistry,Apex Medical Group,924.92,5,4624.6,9,13,True,False
PO-10099,2024-01-27,Oncology,PPE & Safety,Nitrile Exam Gloves (box 200),Cardinal Supply Co,11.24,283,3180.92,7,9,True,True
PO-10100,2024-01-10,Emergency,Pharmaceuticals,Heparin Vials (box 25),OmniHealth Partners,157.26,25,3931.5,10,11,True,True
PO-10101,2024-01-19,Laboratory,PPE & Safety,N95 Respirators (case 210),Cardinal Supply Co,135.06,12,1620.72,4,9,True,True
PO-10102,2024-01-01,General Medicine,Surgical Supplies,Surgical Drapes (case 60),Cardinal Supply Co,127.09,7,889.63,6,9,True,True
PO-10103,2024-01-14,General Medicine,Pharmaceuticals,Heparin Vials (box 25),Apex Medical Group,155.2,11,1707.2,10,13,False,True
PO-10104,2024-01-23,Oncology,Medical Equipment,ECG Electrodes (case 600),Regional MedSupply,104.24,11,1146.64,3,6,True,False
PO-10105,2024-01-05,Surgery,Pharmaceuticals,Epinephrine Auto-Inj (box 12),OmniHealth Partners,627.14,5,3135.7,7,11,True,True
PO-10106,2024-01-07,Emergency,Surgical Supplies,Sterile Gauze (case 600),OmniHealth Partners,57.73,30,1731.9,7,11,True,True
PO-10107,2024-01-23,Laboratory,Surgical Supplies,Sterile Gauze (case 600),MedLine Direct,58.97,23,1356.31,4,8,True,True
PO-10108,2024-01-03,Cardiology,Medical Equipment,ECG Electrodes (case 600),Cardinal Supply Co,80.45,20,1609.0,6,9,True,True
PO-10109,2024-01-14,General Medicine,Pharmaceuticals,Epinephrine Auto-Inj (box 12),Cardinal Supply Co,622.83,4,2491.32,7,9,True,True
PO-10110,2024-01-11,General Medicine,Pharmaceuticals,Epinephrine Auto-Inj (box 12),Regional MedSupply,654.98,5,3274.9,3,6,True,True
PO-10111,2024-01-17,Laboratory,Surgical Supplies,Suture Kits (box 36),Regional MedSupply,197.15,19,3745.85,4,6,False,True
PO-10112,2024-01-02,Oncology,Lab & Diagnostics,Rapid Flu Test Kits (box 25),OmniHealth Partners,242.97,14,3401.58,7,11,True,True
PO-10113,2024-01-22,General Medicine,Lab & Diagnostics,Specimen Containers (case 500),Apex Medical Group,57.73,21,1212.33,10,13,True,True
PO-10114,2024-01-18,Cardiology,Surgical Supplies,Sterile Gauze (case 600),MedLine Direct,63.06,38,2396.28,6,8,True,False
PO-10115,2024-01-18,Cardiology,Pharmaceuticals,Heparin Vials (box 25),Cardinal Supply Co,166.93,13,2170.09,3,9,True,True
PO-10116,2024-01-10,Surgery,Medical Equipment,ECG Electrodes (case 600),MedLine Direct,86.21,10,862.1,5,8,True,True
PO-10117,2024-01-11,Oncology,Lab & Diagnostics,Specimen Containers (case 500),Cardinal Supply Co,62.95,16,1007.2,7,9,True,True
PO-10118,2024-01-09,Surgery,Surgical Supplies,Laparoscopic Trocars (box 6),OmniHealth Partners,431.67,5,2158.35,8,11,True,False
PO-10119,2024-01-22,Emergency,PPE & Safety,Nitrile Exam Gloves (box 200),MedLine Direct,11.15,172,1917.8,6,8,True,True
PO-10120,2024-01-16,Surgery,Surgical Supplies,Surgical Drapes (case 60),Apex Medical Group,125.03,13,1625.39,6,13,False,True
PO-10121,2024-01-09,Laboratory,Pharmaceuticals,Propofol Vials (box 10),MedLine Direct,206.85,19,3930.15,6,8,True,True
PO-10122,2024-01-12,Surgery,Pharmaceuticals,Heparin Vials (box 25),OmniHealth Partners,155.03,24,3720.72,10,11,True,True
PO-10123,2024-01-25,Cardiology,Surgical Supplies,Laparoscopic Trocars (box 6),OmniHealth Partners,394.61,5,1973.05,6,11,True,True
PO-10124,2024-01-10,Surgery,Pharmaceuticals,Propofol Vials (box 10),OmniHealth Partners,201.96,20,4039.2,9,11,True,True
PO-10125,2024-01-24,Cardiology,Lab & Diagnostics,Rapid Flu Test Kits (box 25),Cardinal Supply Co,290.5,10,2905.0,9,9,True,False
PO-10126,2024-01-24,General Medicine,PPE & Safety,Nitrile Exam Gloves (box 200),Cardinal Supply Co,11.35,176,1997.6,9,9,True,True
PO-10127,2024-01-04,Laboratory,PPE & Safety,Face Shields (case 96),Regional MedSupply,89.33,12,1071.96,3,6,True,True
PO-10128,2024-01-01,ICU,PPE & Safety,Nitrile Exam Gloves (box 200),OmniHealth Partners,11.19,242,2707.98,9,11,False,True
PO-10129,2024-01-20,Cardiology,PPE & Safety,Face Shields (case 96),Apex Medical Group,80.77,14,1130.78,12,13,True,True
PO-10130,2024-01-20,ICU,Surgical Supplies,Surgical Drapes (case 60),Apex Medical Group,127.56,7,892.92,12,13,True,True
PO-10131,2024-01-04,Emergency,Medical Equipment,Ventilator Circuits (case 20),Cardinal Supply Co,280.86,4,1123.44,5,9,True,False
PO-10132,2024-01-02,Laboratory,Surgical Supplies,Sterile Gauze (case 600),Apex Medical Group,56.81,28,1590.68,10,13,True,True
PO-10133,2024-01-23,ICU,Pharmaceuticals,Epinephrine Auto-Inj (box 12),OmniHealth Partners,631.5,6,3789.0,9,11,True,True
PO-10134,2024-01-21,Emergency,Lab & Diagnostics,Reagent Pack - Chemistry,OmniHealth Partners,831.72,1,831.72,9,11,True,True
PO-10135,2024-01-23,ICU,PPE & Safety,Nitrile Exam Gloves (box 200),MedLine Direct,11.59,293,3395.87,4,8,True,True
PO-10136,2024-01-07,Oncology,Medical Equipment,Ventilator Circuits (case 20),Regional MedSupply,265.79,1,265.79,3,6,True,True
PO-10137,2024-01-23,ICU,Pharmaceuticals,Propofol Vials (box 10),Cardinal Supply Co,215.29,21,4521.09,3,9,True,False
PO-10138,2024-01-13,Cardiology,Lab & Diagnostics,Blood Collection Tubes (case 1000),Regional MedSupply,126.45,15,1896.75,4,6,True,True
PO-10139,2024-01-01,ICU,PPE & Safety,Isolation Gowns (case 100),Cardinal Supply Co,95.11,22,2092.42,8,9,True,True
PO-10140,2024-01-01,Emergency,Pharmaceuticals,Epinephrine Auto-Inj (box 12),Regional MedSupply,718.3,6,4309.8,1,6,True,True
PO-10141,2024-01-12,Surgery,PPE & Safety,Nitrile Exam Gloves (box 200),MedLine Direct,12.85,309,3970.65,4,8,True,False
PO-10142,2024-01-02,Oncology,Surgical Supplies,Sterile Gauze (case 600),Apex Medical Group,52.79,25,1319.75,5,13,True,True
PO-10143,2024-01-24,ICU,PPE & Safety,Nitrile Exam Gloves (box 200),MedLine Direct,11.64,278,3235.92,7,8,True,True
PO-10144,2024-01-15,General Medicine,Surgical Supplies,Surgical Drapes (case 60),Regional MedSupply,137.61,14,1926.54,1,6,True,True
PO-10145,2024-01-11,Laboratory,Surgical Supplies,Surgical Drapes (case 60),Regional MedSupply,157.12,9,1414.08,7,6,False,False
PO-10146,2024-01-20,Surgery,Pharmaceuticals,Propofol Vials (box 10),Cardinal Supply Co,206.22,13,2680.86,6,9,True,True
PO-10147,2024-01-16,Surgery,Pharmaceuticals,Heparin Vials (box 25),Regional MedSupply,174.2,16,2787.2,2,6,True,True
PO-10148,2024-01-15,Laboratory,PPE & Safety,N95 Respirators (case 210),MedLine Direct,145.39,28,4070.92,5,8,True,True
PO-10149,2024-01-17,Emergency,Medical Equipment,Pulse Oximeter Sensors (box 24),MedLine Direct,334.32,5,1671.6,6,8,True,False
PO-10150,2024-01-13,Laboratory,PPE & Safety,Face Shields (case 96),Apex Medical Group,82.68,12,992.16,6,13,True,False
PO-10151,2024-01-24,ICU,Surgical Supplies,Suture Kits (box 36),Regional MedSupply,200.29,22,4406.38,3,6,True,True
PO-10152,2024-01-16,Emergency,Pharmaceuticals,Saline IV Bags 1L (case 12),Regional MedSupply,75.72,38,2877.36,2,6,True,True
PO-10153,2024-01-14,ICU,Lab & Diagnostics,Rapid Flu Test Kits (box 25),OmniHealth Partners,244.22,12,2930.64,11,11,True,True
PO-10154,2024-01-02,ICU,PPE & Safety,Face Shields (case 96),Apex Medical Group,79.45,9,715.05,14,13,False,True
PO-10155,2024-01-19,ICU,Pharmaceuticals,Saline IV Bags 1L (case 12),OmniHealth Partners,70.25,50,3512.5,5,11,True,True
PO-10156,2024-01-06,Laboratory,Pharmaceuticals,Epinephrine Auto-Inj (box 12),Cardinal Supply Co,591.86,4,2367.44,4,9,True,True
PO-10157,2024-01-03,Emergency,Medical Equipment,Pulse Oximeter Sensors (box 24),Cardinal Supply Co,287.25,5,1436.25,5,9,True,True
PO-10158,2024-01-09,Laboratory,Pharmaceuticals,Heparin Vials (box 25),Regional MedSupply,206.65,31,6406.15,3,6,True,False
PO-10159,2024-01-02,ICU,PPE & Safety,Face Shields (case 96),Cardinal Supply Co,81.39,16,1302.24,5,9,True,True
PO-10160,2024-01-06,Laboratory,Pharmaceuticals,Epinephrine Auto-Inj (box 12),MedLine Direct,632.71,3,1898.13,6,8,True,True
PO-10161,2024-01-23,ICU,Lab & Diagnostics,Blood Collection Tubes (case 1000),OmniHealth Partners,106.7,22,2347.4,8,11,True,True
PO-10162,2024-01-08,ICU,Pharmaceuticals,Epinephrine Auto-Inj (box 12),Regional MedSupply,620.05,6,3720.3,3,6,True,True
PO-10163,2024-01-03,Emergency,PPE & Safety,N95 Respirators (case 210),Apex Medical Group,129.4,24,3105.6,13,13,True,True
PO-10164,2024-01-16,Emergency,PPE & Safety,N95 Respirators (case 210),Regional MedSupply,153.12,26,3981.12,1,6,True,True
PO-10165,2024-01-06,Laboratory,PPE & Safety,Nitrile Exam Gloves (box 200),MedLine Direct,11.72,327,3832.44,5,8,True,True
PO-10166,2024-01-11,General Medicine,Pharmaceuticals,Propofol Vials (box 10),Regional MedSupply,216.91,19,4121.29,8,6,False,True
PO-10167,2024-01-21,ICU,Surgical Supplies,Surgical Drapes (case 60),Cardinal Supply Co,134.8,11,1482.8,7,9,True,True
PO-10168,2024-01-15,ICU,PPE & Safety,Face Shields (case 96),Apex Medical Group,75.94,13,987.22,9,13,True,True
PO-10169,2024-01-27,Surgery,Surgical Supplies,Laparoscopic Trocars (box 6),Cardinal Supply Co,393.79,3,1181.37,7,9,True,True
PO-10170,2024-01-22,Oncology,Pharmaceuticals,Propofol Vials (box 10),MedLine Direct,208.07,23,4785.61,4,8,True,True
PO-10171,2024-01-12,Cardiology,Lab & Diagnostics,Specimen Containers (case 500),Regional MedSupply,68.02,14,952.28,7,6,False,True
PO-10172,2024-01-14,Surgery,Lab & Diagnostics,Specimen Containers (case 500),Regional MedSupply,69.85,12,838.2,4,6,True,True
PO-10173,2024-01-04,Emergency,Lab & Diagnostics,Rapid Flu Test Kits (box 25),Cardinal Supply Co,242.09,16,3873.44,6,9,True,True
PO-10174,2024-01-05,Emergency,Medical Equipment,Ventilator Circuits (case 20),MedLine Direct,264.39,6,1586.34,6,8,True,True
PO-10175,2024-01-13,Cardiology,Surgical Supplies,Laparoscopic Trocars (box 6),Apex Medical Group,374.25,5,1871.25,10,13,True,True
PO-10176,2024-01-08,Surgery,PPE & Safety,N95 Respirators (case 210),OmniHealth Partners,137.78,24,3306.72,6,11,True,True
PO-10177,2024-01-13,Surgery,PPE & Safety,Nitrile Exam Gloves (box 200),Cardinal Supply Co,11.26,314,3535.64,10,9,False,True
PO-10178,2024-01-10,Oncology,PPE & Safety,Nitrile Exam Gloves (box 200),OmniHealth Partners,10.37,340,3525.8,9,11,False,True
PO-10179,2024-01-27,Emergency,Medical Equipment,Pulse Oximeter Sensors (box 24),Apex Medical Group,272.8,1,272.8,10,13,True,True
PO-10180,2024-01-27,Surgery,PPE & Safety,Isolation Gowns (case 100),OmniHealth Partners,92.05,38,3497.9,10,11,True,True
PO-10181,2024-01-23,Surgery,Lab & Diagnostics,Blood Collection Tubes (case 1000),MedLine Direct,117.08,15,1756.2,7,8,True,True
PO-10182,2024-01-21,General Medicine,Pharmaceuticals,Propofol Vials (box 10),Regional MedSupply,226.28,8,1810.24,4,6,True,True
PO-10183,2024-01-23,General Medicine,Surgical Supplies,Suture Kits (box 36),MedLine Direct,192.35,11,2115.85,7,8,True,True
PO-10184,2024-01-01,ICU,PPE & Safety,N95 Respirators (case 210),Apex Medical Group,129.54,16,2072.64,8,13,True,True
PO-10185,2024-01-21,Oncology,Surgical Supplies,Surgical Drapes (case 60),Apex Medical Group,117.41,13,1526.33,8,13,True,True
PO-10186,2024-01-10,Surgery,Medical Equipment,Ventilator Circuits (case 20),MedLine Direct,264.29,5,1321.45,4,8,True,True
PO-10187,2024-01-06,General Medicine,PPE & Safety,Isolation Gowns (case 100),MedLine Direct,91.94,29,2666.26,5,8,True,True
PO-10188,2024-01-12,Surgery,Surgical Supplies,Laparoscopic Trocars (box 6),OmniHealth Partners,377.03,5,1885.15,8,11,True,True
PO-10189,2024-01-13,Surgery,PPE & Safety,N95 Respirators (case 210),OmniHealth Partners,134.02,25,3350.5,8,11,True,True
PO-10190,2024-01-07,Emergency,Surgical Supplies,Surgical Drapes (case 60),MedLine Direct,143.54,9,1291.86,2,8,True,True
PO-10191,2024-01-22,Emergency,Pharmaceuticals,Saline IV Bags 1L (case 12),OmniHealth Partners,72.69,78,5669.82,4,11,True,True
PO-10192,2024-01-03,ICU,Medical Equipment,ECG Electrodes (case 600),Cardinal Supply Co,85.22,13,1107.86,7,9,True,True
PO-10193,2024-01-15,ICU,Medical Equipment,ECG Electrodes (case 600),MedLine Direct,80.7,10,807.0,7,8,True,True
PO-10194,2024-01-08,ICU,Pharmaceuticals,Propofol Vials (box 10),OmniHealth Partners,196.47,14,2750.58,11,11,True,True
PO-10195,2024-01-22,Surgery,PPE & Safety,Isolation Gowns (case 100),Cardinal Supply Co,94.44,19,1794.36,11,9,False,True
PO-10196,2024-01-17,General Medicine,Pharmaceuticals,Propofol Vials (box 10),OmniHealth Partners,221.23,19,4203.37,9,11,True,False
PO-10197,2024-01-09,Emergency,Medical Equipment,Pulse Oximeter Sensors (box 24),Apex Medical Group,282.49,4,1129.96,11,13,True,True
PO-10198,2024-01-21,ICU,PPE & Safety,Face Shields (case 96),Apex Medical Group,76.62,10,766.2,12,13,False,True
